Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
fungal_infection,skin_rash,itching,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,itching,,,,,,,,,,,,,,
fungal_infection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,skin_rash,,,,,,,,,,,,,,
fungal_infection,skin_rash,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,skin_rash,itching,,,,,,,,,,,,,,
fungal_infection,itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,skin_rash,nodal_skin_eruptions,itching,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,skin_rash,dischromic_patches,itching,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,
fungal_infection,dischromic_patches,nodal_skin_eruptions,skin_rash,itching,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,
fungal_infection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,itching,nodal_skin_eruptions,dischromic_patches,skin_rash,,,,,,,,,,,,,
fungal_infection,dischromic_patches,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic_patches,itching,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,dischromic_patches,itching,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,skin_rash,itching,,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic_patches,itching,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic_patches,itching,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,dischromic_patches,itching,,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,dischromic_patches,skin_rash,,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,skin_rash,itching,dischromic_patches,,,,,,,,,,,,,
fungal_infection,skin_rash,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,dischromic_patches,nodal_skin_eruptions,itching,skin_rash,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,skin_rash,,,,,,,,,,,,,,
fungal_infection,skin_rash,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,dischromic_patches,skin_rash,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,dischromic_patches,skin_rash,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,skin_rash,dischromic_patches,itching,,,,,,,,,,,,,
fungal_infection,dischromic_patches,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,skin_rash,itching,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,
fungal_infection,dischromic_patches,skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,skin_rash,dischromic_patches,itching,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,nodal_skin_eruptions,itching,skin_rash,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,itching,nodal_skin_eruptions,dischromic_patches,skin_rash,,,,,,,,,,,,,
fungal_infection,skin_rash,dischromic_patches,nodal_skin_eruptions,itching,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,dischromic_patches,itching,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,skin_rash,itching,,,,,,,,,,,,,,
fungal_infection,skin_rash,dischromic_patches,nodal_skin_eruptions,itching,,,,,,,,,,,,,
fungal_infection,skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,skin_rash,nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,
fungal_infection,dischromic_patches,skin_rash,nodal_skin_eruptions,itching,,,,,,,,,,,,,
fungal_infection,skin_rash,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,skin_rash,itching,,,,,,,,,,,,,,
fungal_infection,nodal_skin_eruptions,skin_rash,dischromic_patches,itching,,,,,,,,,,,,,
fungal_infection,skin_rash,dischromic_patches,nodal_skin_eruptions,itching,,,,,,,,,,,,,
fungal_infection,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,dischromic_patches,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
fungal_infection,itching,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,
allergy,shivering,continuous_sneezing,watering_from_eyes,chills,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,
allergy,chills,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,watering_from_eyes,shivering,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
allergy,shivering,continuous_sneezing,chills,,,,,,,,,,,,,,
allergy,shivering,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,chills,,,,,,,,,,,,,,
allergy,shivering,chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,watering_from_eyes,shivering,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,continuous_sneezing,shivering,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,shivering,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,shivering,watering_from_eyes,,,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,shivering,chills,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,continuous_sneezing,chills,,,,,,,,,,,,,
allergy,watering_from_eyes,shivering,chills,continuous_sneezing,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,shivering,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,
allergy,chills,watering_from_eyes,continuous_sneezing,shivering,,,,,,,,,,,,,
allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
allergy,shivering,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,
allergy,continuous_sneezing,watering_from_eyes,shivering,chills,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,shivering,continuous_sneezing,,,,,,,,,,,,,
allergy,chills,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
allergy,shivering,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,
allergy,chills,continuous_sneezing,watering_from_eyes,shivering,,,,,,,,,,,,,
allergy,chills,continuous_sneezing,shivering,,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
allergy,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
allergy,continuous_sneezing,watering_from_eyes,shivering,chills,,,,,,,,,,,,,
allergy,watering_from_eyes,shivering,continuous_sneezing,chills,,,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,chills,shivering,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,watering_from_eyes,shivering,,,,,,,,,,,,,
allergy,chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,,
allergy,watering_from_eyes,shivering,chills,continuous_sneezing,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,watering_from_eyes,shivering,,,,,,,,,,,,,
allergy,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
allergy,shivering,continuous_sneezing,chills,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
allergy,chills,continuous_sneezing,watering_from_eyes,shivering,,,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,chills,shivering,,,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,chills,,,,,,,,,,,,,,
allergy,chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,chills,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
allergy,watering_from_eyes,shivering,continuous_sneezing,chills,,,,,,,,,,,,,
allergy,chills,watering_from_eyes,shivering,continuous_sneezing,,,,,,,,,,,,,
allergy,shivering,chills,continuous_sneezing,,,,,,,,,,,,,,
allergy,continuous_sneezing,watering_from_eyes,shivering,chills,,,,,,,,,,,,,
allergy,shivering,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,
allergy,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,
allergy,chills,watering_from_eyes,continuous_sneezing,shivering,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,shivering,continuous_sneezing,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,watering_from_eyes,chills,,,,,,,,,,,,,
allergy,chills,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,chills,shivering,,,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,chills,shivering,,,,,,,,,,,,,
allergy,chills,shivering,watering_from_eyes,,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
allergy,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
allergy,continuous_sneezing,watering_from_eyes,chills,shivering,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,chills,,,,,,,,,,,,,,
allergy,watering_from_eyes,shivering,chills,continuous_sneezing,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,continuous_sneezing,chills,,,,,,,,,,,,,
allergy,chills,shivering,watering_from_eyes,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,shivering,,,,,,,,,,,,,,
allergy,chills,watering_from_eyes,shivering,continuous_sneezing,,,,,,,,,,,,,
allergy,shivering,chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,shivering,,,,,,,,,,,,,,
allergy,watering_from_eyes,shivering,continuous_sneezing,chills,,,,,,,,,,,,,
allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,shivering,,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
allergy,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,watering_from_eyes,shivering,,,,,,,,,,,,,
allergy,shivering,chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
allergy,continuous_sneezing,watering_from_eyes,shivering,chills,,,,,,,,,,,,,
allergy,chills,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,,
allergy,shivering,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,shivering,,,,,,,,,,,,,,
allergy,chills,watering_from_eyes,continuous_sneezing,shivering,,,,,,,,,,,,,
allergy,shivering,continuous_sneezing,watering_from_eyes,chills,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,shivering,continuous_sneezing,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,shivering,,,,,,,,,,,,,,
allergy,chills,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,
allergy,continuous_sneezing,chills,shivering,,,,,,,,,,,,,,
allergy,shivering,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,
allergy,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
allergy,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
allergy,chills,shivering,watering_from_eyes,,,,,,,,,,,,,,
allergy,shivering,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,chills,continuous_sneezing,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,watering_from_eyes,chills,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,shivering,,,,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,shivering,,,,,,,,,,,,,,
allergy,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,
allergy,chills,continuous_sneezing,watering_from_eyes,shivering,,,,,,,,,,,,,
allergy,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
allergy,watering_from_eyes,chills,shivering,,,,,,,,,,,,,,
allergy,continuous_sneezing,watering_from_eyes,chills,shivering,,,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,chills,shivering,,,,,,,,,,,,,
allergy,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,
allergy,shivering,watering_from_eyes,continuous_sneezing,chills,,,,,,,,,,,,,
allergy,chills,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,
allergy,watering_from_eyes,continuous_sneezing,shivering,chills,,,,,,,,,,,,,
allergy,chills,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,
allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
gerd,chest_pain,cough,stomach_pain,vomiting,,,,,,,,,,,,,
gerd,acidity,chest_pain,cough,stomach_pain,ulcers_on_tongue,,,,,,,,,,,,
gerd,acidity,ulcers_on_tongue,chest_pain,cough,,,,,,,,,,,,,
gerd,ulcers_on_tongue,acidity,cough,,,,,,,,,,,,,,
gerd,acidity,stomach_pain,cough,vomiting,ulcers_on_tongue,,,,,,,,,,,,
gerd,acidity,cough,ulcers_on_tongue,stomach_pain,vomiting,,,,,,,,,,,,
gerd,stomach_pain,acidity,vomiting,ulcers_on_tongue,chest_pain,,,,,,,,,,,,
gerd,vomiting,chest_pain,ulcers_on_tongue,,,,,,,,,,,,,,
gerd,vomiting,cough,acidity,,,,,,,,,,,,,,
gerd,chest_pain,cough,ulcers_on_tongue,,,,,,,,,,,,,,
gerd,chest_pain,stomach_pain,cough,acidity,ulcers_on_tongue,vomiting,,,,,,,,,,,
gerd,vomiting,chest_pain,stomach_pain,,,,,,,,,,,,,,
gerd,ulcers_on_tongue,cough,acidity,,,,,,,,,,,,,,
gerd,acidity,ulcers_on_tongue,cough,,,,,,,,,,,,,,
gerd,cough,chest_pain,ulcers_on_tongue,acidity,vomiting,stomach_pain,,,,,,,,,,,
gerd,chest_pain,cough,acidity,,,,,,,,,,,,,,
gerd,vomiting,acidity,chest_pain,cough,ulcers_on_tongue,stomach_pain,,,,,,,,,,,
gerd,chest_pain,stomach_pain,ulcers_on_tongue,acidity,vomiting,cough,,,,,,,,,,,
gerd,acidity,vomiting,stomach_pain,cough,ulcers_on_tongue,,,,,,,,,,,,
gerd,vomiting,stomach_pain,ulcers_on_tongue,,,,,,,,,,,,,,
gerd,cough,stomach_pain,ulcers_on_tongue,vomiting,,,,,,,,,,,,,
gerd,vomiting,ulcers_on_tongue,chest_pain,,,,,,,,,,,,,,
gerd,ulcers_on_tongue,cough,chest_pain,,,,,,,,,,,,,,
gerd,stomach_pain,cough,acidity,chest_pain,vomiting,,,,,,,,,,,,
gerd,stomach_pain,ulcers_on_tongue,cough,chest_pain,,,,,,,,,,,,,
gerd,cough,acidity,vomiting,ulcers_on_tongue,stomach_pain,,,,,,,,,,,,
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,,,,,,,,,,,,
gerd,ulcers_on_tongue,stomach_pain,acidity,cough,vomiting,,,,,,,,,,,,
gerd,acidity,stomach_pain,cough,,,,,,,,,,,,,,
gerd,vomiting,chest_pain,cough,acidity,,,,,,,,,,,,,
gerd,ulcers_on_tongue,chest_pain,cough,vomiting,,,,,,,,,,,,,
gerd,stomach_pain,acidity,cough,,,,,,,,,,,,,,
gerd,chest_pain,stomach_pain,ulcers_on_tongue,,,,,,,,,,,,,,
gerd,chest_pain,vomiting,cough,ulcers_on_tongue,acidity,stomach_pain,,,,,,,,,,,
gerd,acidity,cough,stomach_pain,chest_pain,ulcers_on_tongue,,,,,,,,,,,,
gerd,ulcers_on_tongue,cough,vomiting,,,,,,,,,,,,,,
gerd,stomach_pain,acidity,vomiting,ulcers_on_tongue,chest_pain,,,,,,,,,,,,
gerd,acidity,ulcers_on_tongue,chest_pain,,,,,,,,,,,,,,
gerd,ulcers_on_tongue,chest_pain,cough,stomach_pain,,,,,,,,,,,,,
gerd,vomiting,chest_pain,acidity,,,,,,,,,,,,,,
gerd,vomiting,cough,acidity,ulcers_on_tongue,,,,,,,,,,,,,
gerd,stomach_pain,vomiting,chest_pain,acidity,cough,,,,,,,,,,,,
gerd,stomach_pain,ulcers_on_tongue,vomiting,cough,acidity,chest_pain,,,,,,,,,,,
gerd,stomach_pain,vomiting,chest_pain,acidity,cough,,,,,,,,,,,,
gerd,chest_pain,ulcers_on_tongue,stomach_pain,acidity,vomiting,cough,,,,,,,,,,,
gerd,cough,vomiting,stomach_pain,acidity,ulcers_on_tongue,chest_pain,,,,,,,,,,,
gerd,ulcers_on_tongue,acidity,stomach_pain,chest_pain,,,,,,,,,,,,,
gerd,cough,chest_pain,acidity,,,,,,,,,,,,,,
gerd,ulcers_on_tongue,acidity,cough,stomach_pain,chest_pain,,,,,,,,,,,,
gerd,acidity,chest_pain,cough,ulcers_on_tongue,stomach_pain,,,,,,,,,,,,
gerd,chest_pain,vomiting,cough,ulcers_on_tongue,,,,,,,,,,,,,
gerd,chest_pain,cough,ulcers_on_tongue,vomiting,acidity,stomach_pain,,,,,,,,,,,
gerd,stomach_pain,vomiting,cough,ulcers_on_tongue,acidity,chest_pain,,,,,,,,,,,
gerd,ulcers_on_tongue,cough,stomach_pain,,,,,,,,,,,,,,
gerd,vomiting,chest_pain,stomach_pain,cough,acidity,,,,,,,,,,,,
gerd,stomach_pain,chest_pain,vomiting,acidity,cough,,,,,,,,,,,,
gerd,cough,acidity,ulcers_on_tongue,vomiting,chest_pain,stomach_pain,,,,,,,,,,,
gerd,vomiting,stomach_pain,ulcers_on_tongue,,,,,,,,,,,,,,
gerd,cough,acidity,stomach_pain,,,,,,,,,,,,,,
gerd,chest_pain,vomiting,cough,ulcers_on_tongue,,,,,,,,,,,,,
gerd,ulcers_on_tongue,chest_pain,cough,acidity,,,,,,,,,,,,,
gerd,ulcers_on_tongue,cough,stomach_pain,chest_pain,acidity,vomiting,,,,,,,,,,,
gerd,stomach_pain,cough,vomiting,acidity,ulcers_on_tongue,,,,,,,,,,,,
gerd,ulcers_on_tongue,stomach_pain,acidity,vomiting,,,,,,,,,,,,,
gerd,chest_pain,vomiting,acidity,ulcers_on_tongue,stomach_pain,,,,,,,,,,,,
gerd,cough,vomiting,ulcers_on_tongue,stomach_pain,chest_pain,,,,,,,,,,,,
gerd,cough,ulcers_on_tongue,stomach_pain,acidity,chest_pain,vomiting,,,,,,,,,,,
gerd,ulcers_on_tongue,vomiting,acidity,stomach_pain,,,,,,,,,,,,,
gerd,acidity,stomach_pain,ulcers_on_tongue,cough,,,,,,,,,,,,,
gerd,chest_pain,ulcers_on_tongue,acidity,,,,,,,,,,,,,,
gerd,acidity,chest_pain,cough,ulcers_on_tongue,stomach_pain,vomiting,,,,,,,,,,,
gerd,vomiting,ulcers_on_tongue,acidity,,,,,,,,,,,,,,
gerd,cough,ulcers_on_tongue,vomiting,stomach_pain,chest_pain,acidity,,,,,,,,,,,
gerd,acidity,ulcers_on_tongue,vomiting,chest_pain,cough,stomach_pain,,,,,,,,,,,
gerd,acidity,chest_pain,cough,vomiting,stomach_pain,ulcers_on_tongue,,,,,,,,,,,
gerd,cough,stomach_pain,chest_pain,acidity,vomiting,,,,,,,,,,,,
gerd,ulcers_on_tongue,vomiting,acidity,cough,,,,,,,,,,,,,
gerd,acidity,vomiting,ulcers_on_tongue,,,,,,,,,,,,,,
gerd,vomiting,stomach_pain,chest_pain,,,,,,,,,,,,,,
gerd,acidity,vomiting,stomach_pain,chest_pain,cough,,,,,,,,,,,,
gerd,ulcers_on_tongue,stomach_pain,chest_pain,,,,,,,,,,,,,,
